               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.018592,           0.0081191,                   0,             0.99962,                   1,               0.995,             0.83347,           0.0047044,           0.0022937,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.013653,           0.0081467,                   0,             0.99948,                   1,               0.995,              0.8209,           0.0048416,           0.0024032,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.016107,           0.0076847,                   0,             0.99958,                   1,               0.995,             0.84492,           0.0046669,           0.0023144,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.016255,           0.0078265,                   0,             0.99997,                   1,               0.995,             0.83146,            0.004622,           0.0023414,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.016411,           0.0078986,                   0,             0.99936,                   1,               0.995,             0.83174,           0.0047285,           0.0023173,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.014518,           0.0079867,                   0,             0.99873,                   1,               0.995,             0.83688,           0.0044632,           0.0022777,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.015637,           0.0077703,                   0,             0.99947,                   1,               0.995,             0.84395,           0.0044313,           0.0023844,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.016212,           0.0076494,                   0,              0.9995,                   1,               0.995,             0.83316,           0.0044742,           0.0023426,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.016342,           0.0077983,                   0,             0.99958,                   1,               0.995,             0.85127,           0.0045633,           0.0023071,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.017642,           0.0077208,                   0,             0.99956,                   1,               0.995,             0.85073,           0.0045185,           0.0023431,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.016877,           0.0074654,                   0,             0.99949,                   1,               0.995,             0.81405,            0.005311,           0.0023953,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.016721,           0.0076863,                   0,             0.99946,                   1,               0.995,             0.83221,           0.0048674,            0.002408,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.013675,           0.0075129,                   0,             0.99953,                   1,               0.995,             0.83573,           0.0050833,           0.0023382,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.017104,           0.0078172,                   0,             0.99953,                   1,               0.995,             0.85059,           0.0047972,           0.0023767,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.015517,           0.0078033,                   0,             0.99954,                   1,               0.995,             0.84004,           0.0049429,            0.002369,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.015184,           0.0078568,                   0,             0.99964,                   1,               0.995,             0.84563,            0.004535,           0.0022923,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.013246,           0.0075777,                   0,             0.99948,                   1,               0.995,             0.84277,           0.0049143,           0.0023598,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.014059,           0.0077403,                   0,                   1,             0.99992,               0.995,             0.84603,           0.0047687,           0.0022875,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.014415,           0.0076267,                   0,             0.99946,                   1,               0.995,             0.82912,            0.004617,           0.0023639,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.014935,           0.0074814,                   0,             0.99938,                   1,               0.995,             0.84868,           0.0043592,           0.0023722,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.017689,           0.0076392,                   0,             0.99945,                   1,               0.995,             0.85161,           0.0043952,           0.0022538,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.015688,           0.0075998,                   0,             0.99951,                   1,               0.995,             0.85362,           0.0042303,           0.0022505,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.014755,           0.0074264,                   0,             0.99956,                   1,               0.995,             0.84587,           0.0043846,           0.0022768,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.015769,           0.0077814,                   0,             0.99952,                   1,               0.995,              0.8542,           0.0044898,            0.002275,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.012909,            0.007176,                   0,             0.99974,                   1,               0.995,             0.84793,           0.0042354,           0.0022465,                   0,            0.007129,            0.007129,            0.007129
